CARD best Aro Hit,AMRFINDER FORMATTEDClass,BASED ON,CARD Short
SRT-4,BETA-LACTAM,GENE FAMILY,SRT-4
SST-1,BETA-LACTAM,GENE FAMILY,SST-1
Streptomyces lividans otr(A),TETRACYCLINE,DRUG CLASS,otr(A)S.liv
Streptomyces rimosus otr(A),TETRACYCLINE,DRUG CLASS,otr(A)S.rim
Streptomyces venezuelae rox,RIFAMYCIN,DRUG CLASS,Sven_rox
tet(41),TETRACYCLINE,DRUG CLASS,tet(41) 
tet(45),TETRACYCLINE,DRUG CLASS,tet(45) 
tet(59),TETRACYCLINE,DRUG CLASS,tet(59) 
tet(B),TETRACYCLINE,DRUG CLASS,tet(B)
tet(D)  ,,,
tetB(P),TETRACYCLINE,DRUG CLASS,tetB(P) 
tetR,TETRACYCLINE,DRUG CLASS,tetR
TriA,,,
TriB,,,
TriC,,,
Type B NfxB,,,
vanG,GLYCOPEPTIDE,DRUG CLASS,vanG 
vanH gene in vanA cluster ,,,
vanH gene in vanB cluster,GLYCOPEPTIDE,DRUG CLASS,vanH_in_vanB_cl
vanH gene in vanF cluster,GLYCOPEPTIDE,DRUG CLASS,vanH_in_vanF_cl
vanH gene in vanO cluster,GLYCOPEPTIDE,DRUG CLASS,vanH_in_vanO_cl
vanI,GLYCOPEPTIDE,DRUG CLASS,vanI
vanR gene in vanA cluster ,,,
vanT gene in vanG cluster,GLYCOPEPTIDE,DRUG CLASS,vanT_in_vanG_cl
vanW gene in vanB cluster,GLYCOPEPTIDE,DRUG CLASS,vanW_in_vanB_cl
vanW gene in vanG cluster,GLYCOPEPTIDE,DRUG CLASS,vanW_in_vanG_cl
vanX gene in vanI cluster,GLYCOPEPTIDE,DRUG CLASS,vanX_in_vanI_cl
vanY gene in vanB cluster,GLYCOPEPTIDE,DRUG CLASS,vanY_in_vanB_cl
vanY gene in vanF cluster,GLYCOPEPTIDE,DRUG CLASS,vanY_in_vanF_cl
vanY gene in vanM cluster,GLYCOPEPTIDE,DRUG CLASS,vanY_in_vanM_cl
YajC,EFFLUX,MECHANISM,YajC
